Sentence,new_sentence,tags,tokens
She hugged the tree-line down to the side of the mountain then climbed a tree and waited.,She hugged the tree-line down to the side of the Blue Ridge Mountains then climbed a tree and waited.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['She', 'hugged', 'the', 'tree', 'line', 'down', 'to', 'the', 'side', 'of', 'the', 'Blue', 'Ridge', 'Mountains', 'then', 'climbed', 'a', 'tree', 'and', 'waited', '.']"
Between the ranges lie valleys of about the same width as the bases of the mountains.,Between the ranges lie valleys of about the same width as the bases of the Holy Cross.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O']","['Between', 'the', 'ranges', 'lie', 'valleys', 'of', 'about', 'the', 'same', 'width', 'as', 'the', 'bases', 'of', 'the', 'Holy', 'Cross', '.']"
They've made up splendid packs for me--fit to cross the Bohemian mountains with.,They've made up splendid packs for me--fit to cross the Bohemian Vinales Mountains with.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O']","['They', 've', 'made', 'up', 'splendid', 'packs', 'for', 'me', 'fit', 'to', 'cross', 'the', 'Bohemian', 'Vinales', 'Mountains', 'with', '.']"
"Nevertheless the mountain tribes who inhabited the higher parts of the Caucasus were still independent, and their subjugation cost Russia a sustained effort of thirty years, during the course of which her military commanders were more than once brought almost to the point of despair by the tenacity, the devotion and the adroitness and daring which the mountaineers displayed in a harassing guerilla warfare.","Nevertheless the Dolomites tribes who inhabited the higher parts of the Caucasus were still independent, and their subjugation cost Russia a sustained effort of thirty years, during the course of which her military commanders were more than once brought almost to the point of despair by the tenacity, the devotion and the adroitness and daring which the mountaineers displayed in a harassing guerilla warfare.","['O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Nevertheless', 'the', 'Dolomites', 'tribes', 'who', 'inhabited', 'the', 'higher', 'parts', 'of', 'the', 'Caucasus', 'were', 'still', 'independent', 'and', 'their', 'subjugation', 'cost', 'Russia', 'a', 'sustained', 'effort', 'of', 'thirty', 'years', 'during', 'the', 'course', 'of', 'which', 'her', 'military', 'commanders', 'were', 'more', 'than', 'once', 'brought', 'almost', 'to', 'the', 'point', 'of', 'despair', 'by', 'the', 'tenacity', 'the', 'devotion', 'and', 'the', 'adroitness', 'and', 'daring', 'which', 'the', 'mountaineers', 'displayed', 'in', 'a', 'harassing', 'guerilla', 'warfare', '.']"
"In the vicinity is a cliff or ridge of rock called Teufelsmauer (Devil's wall), from which fine views are obtained across the plain and into the deep gorges of the Harz Mountains.","In the vicinity is a cliff or ridge of rock called Teufelsmauer (Devil's wall), from which fine views are obtained across the plain and into the deep gorges of the Harz Mountains.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['In', 'the', 'vicinity', 'is', 'a', 'cliff', 'or', 'ridge', 'of', 'rock', 'called', 'Teufelsmauer', 'Devil', 's', 'wall', 'from', 'which', 'fine', 'views', 'are', 'obtained', 'across', 'the', 'plain', 'and', 'into', 'the', 'deep', 'gorges', 'of', 'the', 'Harz', 'Mountains', '.']"
"Tossett or Toppid and Turaw mountains command extensive prospects, and form striking features in the scenery of the county.","Tossett or Toppid and Turaw Kailash command extensive prospects, and form striking features in the scenery of the county.","['O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Tossett', 'or', 'Toppid', 'and', 'Turaw', 'Kailash', 'command', 'extensive', 'prospects', 'and', 'form', 'striking', 'features', 'in', 'the', 'scenery', 'of', 'the', 'county', '.']"
The clus­ter of 12 riders who passed him further up the mountain was now about to pass the other rider.,The clus­ter of 12 riders who passed him further up the Timor Mountains was now about to pass the other rider.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['The', 'clus', 'ter', 'of', '12', 'riders', 'who', 'passed', 'him', 'further', 'up', 'the', 'Timor', 'Mountains', 'was', 'now', 'about', 'to', 'pass', 'the', 'other', 'rider', '.']"
"The whole interior of Greenland is completely covered by the so-called inland ice, an enormous glacier forming a regular shield-shaped expanse of snow and glacier ice, and burying all valleys and mountains far below its surface.","The whole interior of Greenland is completely covered by the so-called inland ice, an enormous glacier forming a regular shield-shaped expanse of snow and glacier ice, and burying all valleys and Helicon far below its surface.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O']","['The', 'whole', 'interior', 'of', 'Greenland', 'is', 'completely', 'covered', 'by', 'the', 'so', 'called', 'inland', 'ice', 'an', 'enormous', 'glacier', 'forming', 'a', 'regular', 'shield', 'shaped', 'expanse', 'of', 'snow', 'and', 'glacier', 'ice', 'and', 'burying', 'all', 'valleys', 'and', 'Helicon', 'far', 'below', 'its', 'surface', '.']"
Let's climb that mountain to see it.,Let's climb that Nanga Parbat to see it.,"['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O']","['Let', 's', 'climb', 'that', 'Nanga', 'Parbat', 'to', 'see', 'it', '.']"
"In this part of its course the river receives from the south the streams, often intermittent, which rise on the northern slopes of the Stormberg, Zuurberg and Sneeuwberg ranges - the mountain chain which forms the water-parting between the coast and inland drainage systems of South Africa.","In this part of its course the river receives from the south the streams, often intermittent, which rise on the northern slopes of the Stormberg, Zuurberg and Sneeuwberg ranges - the Ayrshire Hills chain which forms the water-parting between the coast and inland drainage systems of South Africa.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['In', 'this', 'part', 'of', 'its', 'course', 'the', 'river', 'receives', 'from', 'the', 'south', 'the', 'streams', 'often', 'intermittent', 'which', 'rise', 'on', 'the', 'northern', 'slopes', 'of', 'the', 'Stormberg', 'Zuurberg', 'and', 'Sneeuwberg', 'ranges', 'the', 'Ayrshire', 'Hills', 'chain', 'which', 'forms', 'the', 'water', 'parting', 'between', 'the', 'coast', 'and', 'inland', 'drainage', 'systems', 'of', 'South', 'Africa', '.']"
"The trees flowed gracefully down the mountain side, ending in the pasture where the goats used to graze.","The trees flowed gracefully down the Mount Vinson side, ending in the pasture where the goats used to graze.","['O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['The', 'trees', 'flowed', 'gracefully', 'down', 'the', 'Mount', 'Vinson', 'side', 'ending', 'in', 'the', 'pasture', 'where', 'the', 'goats', 'used', 'to', 'graze', '.']"
"The summits are generally well rounded, while the lower slopes are often steep. Frequent broad intervals of low upland or low level plain extend from sea to sea between and around the mountains.","The summits are generally well rounded, while the lower slopes are often steep. Frequent broad intervals of low upland or low level plain extend from sea to sea between and around the Pico.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O']","['The', 'summits', 'are', 'generally', 'well', 'rounded', 'while', 'the', 'lower', 'slopes', 'are', 'often', 'steep', '.', 'Frequent', 'broad', 'intervals', 'of', 'low', 'upland', 'or', 'low', 'level', 'plain', 'extend', 'from', 'sea', 'to', 'sea', 'between', 'and', 'around', 'the', 'Pico', '.']"
"It is exceedingly picturesque, the villages clinging to the sides of the mountain glens from which water is drawn for irrigation; and excellent fruit is grown.","It is exceedingly picturesque, the villages clinging to the sides of the Mount Shasta glens from which water is drawn for irrigation; and excellent fruit is grown.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['It', 'is', 'exceedingly', 'picturesque', 'the', 'villages', 'clinging', 'to', 'the', 'sides', 'of', 'the', 'Mount', 'Shasta', 'glens', 'from', 'which', 'water', 'is', 'drawn', 'for', 'irrigation', 'and', 'excellent', 'fruit', 'is', 'grown', '.']"
The rest of the mountain was thickly wooded.,The rest of the Mount Everest was thickly wooded.,"['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O']","['The', 'rest', 'of', 'the', 'Mount', 'Everest', 'was', 'thickly', 'wooded', '.']"
"There, good citizens, is the result of a wasted day in the mountains.","There, good citizens, is the result of a wasted day in the Blue Mountains.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O']","['There', 'good', 'citizens', 'is', 'the', 'result', 'of', 'a', 'wasted', 'day', 'in', 'the', 'Blue', 'Mountains', '.']"
The country is renowned for the beauty of its mountain scenery.,The country is renowned for the beauty of its Makalu scenery.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O']","['The', 'country', 'is', 'renowned', 'for', 'the', 'beauty', 'of', 'its', 'Makalu', 'scenery', '.']"
"Rising on the Montenegrin border, under the Lebrsnik mountains, it flows north-westwards at the foot of the Dinaric Alps; and, near Konjica, sweeps round suddenly to the south, and falls into the Adriatic near Metkovic, after traversing 125 m.","Rising on the Montenegrin border, under the Lebrsnik Vanoise Massif, it flows north-westwards at the foot of the Dinaric Alps; and, near Konjica, sweeps round suddenly to the south, and falls into the Adriatic near Metkovic, after traversing 125 m.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Rising', 'on', 'the', 'Montenegrin', 'border', 'under', 'the', 'Lebrsnik', 'Vanoise', 'Massif', 'it', 'flows', 'north', 'westwards', 'at', 'the', 'foot', 'of', 'the', 'Dinaric', 'Alps', 'and', 'near', 'Konjica', 'sweeps', 'round', 'suddenly', 'to', 'the', 'south', 'and', 'falls', 'into', 'the', 'Adriatic', 'near', 'Metkovic', 'after', 'traversing', '125', 'm', '.']"
It seemed every other rider had passed him on the climb until he looked down the mountain and saw hundreds of dots of color still struggling up the incline behind him.,It seemed every other rider had passed him on the climb until he looked down the Rangitoto and saw hundreds of dots of color still struggling up the incline behind him.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['It', 'seemed', 'every', 'other', 'rider', 'had', 'passed', 'him', 'on', 'the', 'climb', 'until', 'he', 'looked', 'down', 'the', 'Rangitoto', 'and', 'saw', 'hundreds', 'of', 'dots', 'of', 'color', 'still', 'struggling', 'up', 'the', 'incline', 'behind', 'him', '.']"
Dean's lack of proficiency at mountain climbing left him to make do instead of utilizing a more effective and safer method of descent.,Dean's lack of proficiency at Lhotse climbing left him to make do instead of utilizing a more effective and safer method of descent.,"['O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Dean', 's', 'lack', 'of', 'proficiency', 'at', 'Lhotse', 'climbing', 'left', 'him', 'to', 'make', 'do', 'instead', 'of', 'utilizing', 'a', 'more', 'effective', 'and', 'safer', 'method', 'of', 'descent', '.']"
